Country/Economy,Total GDP (USD$),Agricultural (%),Agricultural (USD$)
World,104480.0,5.9,4437549.0
United States of America,26950.0,1.12,215364.0
China,17700.0,6.9,843061.0
Japan,4230.0,1.2,56764.0
Germany,4430.0,0.8,27959.0
India,3730.0,17.4,391672.0
United Kingdom,3330.0,0.7,18549.0
France,3050.0,1.9,47277.0
Italy,2190.0,2.0,37050.0
Brazil,2130.0,5.4,95558.0
Canada,2120.0,1.8,27582.0
Russia,1860.0,3.9,49442.0
Mexico,1810.0,3.7,39354.0
South Korea,1710.0,3.0,37918.0
Australia,1690.0,4.0,50266.0
Spain,1580.0,3.3,41321.0
Indonesia,1420.0,14.3,134556.0
Turkey,1150.0,8.9,67259.0
Netherlands,1090.0,2.8,21558.0
Saudi Arabia,1070.0,2.0,13156.0
Switzerland,906.0,1.3,8612.0
Poland,842.0,3.0,15890.0
Taiwan,751.9,1.3,6749.0
Belgium,628.0,0.7,3291.0
Argentina,622.0,10.0,54178.0
Sweden,597.1,1.8,9314.0
United Arab Emirates,509.0,0.7,2915.0
Nigeria,390.0,17.8,73884.0
Iran,366.4,11.2,46182.0
Colombia,363.8,8.9,35610.0
Thailand,512.0,13.3,51949.0
Austria,526.0,1.5,5809.0
Norway,547.0,2.7,10159.0
Denmark,462.019,4.5,15624.0
South Africa,380.9,2.5,8530.0
Greece,242.0,3.0,8131.0
Venezuela,92.2,5.0,9834.0
